,status,time,LoanOriginalAmount2,IsBorrowerHomeowner
255,0,917,0.255,1
256,0,410,0.255,1
257,0,301,1.2,0
258,0,1096,0.3,1
259,0,1096,1.0,0
260,1,425,0.52,0
261,1,364,0.4,1
262,1,183,0.255,1
263,0,620,0.6,1
264,0,931,0.6,1
265,1,213,0.7,0
266,1,1036,0.255,0
267,0,594,0.3,1
268,0,1096,0.95,0
269,0,1096,0.45,1
270,0,866,0.5,1
271,0,1096,0.2025,1
272,0,356,1.55,0
273,0,631,0.4,1
274,1,243,0.3,1
275,1,366,0.5,1
276,1,183,0.75,0
277,0,182,0.1,0
278,0,882,1.0,1
279,1,455,0.1603,1
280,0,1096,0.1,0
281,1,333,0.85,1
282,0,122,0.4,0
283,0,1096,0.3998,1
284,0,1156,0.255,1
285,0,1096,0.11699999999999999,1
286,0,1130,0.38,0
287,0,1096,0.3,1
288,0,838,0.51,0
289,0,7,0.3,1
290,0,72,0.1,1
291,0,756,0.2,0
292,0,184,0.436,1
293,0,1035,0.3,1
294,0,1096,0.25,1
295,0,1096,0.28,1
296,0,1096,1.0,0
297,1,394,0.35,1
298,1,333,0.4,1
299,0,353,0.4,1
300,0,1107,0.1,1
301,0,438,0.425,1
302,0,1096,0.35,0
303,0,315,0.45,1
304,0,243,0.23,0
305,1,486,0.85,1
306,0,1096,0.32,1
307,1,455,0.95,1
308,0,532,0.3,1
309,0,1096,2.0,1
310,1,182,0.3,1
311,0,1084,0.5,0
312,1,151,0.2,1
313,0,1109,0.1,1
314,0,407,0.3,1
315,1,884,0.1,1
316,1,302,0.1,1
317,1,213,0.1,1
318,0,1071,0.2555,1
319,1,274,0.3001,0
320,0,1109,0.15,1
321,0,35,0.3,1
322,0,1091,0.2,1
323,0,1096,2.0,0
324,0,550,0.4,1
325,0,577,0.25,0
326,1,274,0.3,1
327,0,1096,0.29,1
328,0,493,0.5,1
329,0,1096,0.1,1
330,0,315,0.1,1
331,0,297,0.65,1
332,0,513,0.5,1
333,1,272,1.0,1
334,0,1096,0.475,1
335,0,1096,0.58,0
336,0,273,0.1925,1
337,0,1096,0.5,1
338,1,272,0.1,0
339,1,243,0.6,1
340,0,1111,0.49,0
341,0,868,0.51,1
342,1,302,1.5,0
343,0,538,0.2,0
344,1,916,0.2,1
345,1,364,0.52,0
346,0,1096,0.4,1
347,0,1096,0.16,1
348,1,272,0.4,1
349,0,23,0.2,1
350,0,340,0.255,0
351,0,66,0.12,1
352,0,1096,0.3,1
353,1,274,0.3,1
354,0,539,0.7,1
355,0,623,0.109,1
356,0,1196,2.0,1
357,1,152,0.255,1
358,0,318,0.29,1
359,0,1096,0.38,1
360,0,1066,0.4271,0
361,1,335,0.3025,1
362,0,595,2.0,0
363,0,1096,0.3001,1
364,1,241,0.2525,1
365,0,449,1.5,0
366,1,608,0.5,0
367,0,119,0.255,0
368,0,1005,1.28,1
369,0,1096,1.0,1
370,0,1096,0.1805,1
371,0,95,0.255,1
372,0,1096,0.4,1
373,0,1096,0.8925,0
374,0,991,0.2599,1
375,1,290,1.0,0
376,0,895,0.1,1
377,0,1096,0.5,0
378,1,394,0.18,0
379,0,353,0.25,0
380,0,1107,0.1,1
381,0,718,0.35,1
382,0,449,0.3,1
383,0,1096,0.25,1
384,0,1096,0.5,0
385,0,443,0.3,1
386,1,182,0.275,1
387,0,6,0.15,0
388,0,317,0.2,1
389,1,1097,0.1,1
390,1,394,0.51,1
391,1,425,0.3,0
392,0,724,0.12,1
393,0,341,1.0,1
394,0,981,0.5,1
395,0,930,0.18,1
396,0,456,0.45,1
397,0,270,0.2,1
398,0,1096,1.0,0
399,0,572,0.2,1
400,1,211,0.1,1
401,1,213,0.15,0
402,0,1096,0.3,0
403,0,524,0.6,1
404,0,1096,0.25,1
405,1,394,0.25,1
406,0,1026,0.1,1
407,0,98,0.1,1
408,0,7,0.85,1
409,0,1096,0.465,1
410,0,1096,0.12,1
411,0,1131,0.4,0
412,0,81,0.25,1
413,0,1078,0.1,1
414,1,305,0.3,1
415,0,1043,0.75,1
416,0,1096,0.5,1
417,0,454,0.4,1
418,0,1037,0.25,1
419,0,519,0.285,0
420,0,1019,0.2,1
421,0,154,0.7,1
422,1,455,0.35,1
423,0,753,0.25,1
424,0,203,0.2,1
425,0,137,1.5,1
426,0,1068,0.4,1
427,0,1096,0.32,1
428,0,1096,0.1,0
429,0,267,0.51,1
430,1,397,1.0,0
431,0,1096,0.165,1
432,1,182,0.28,1
433,0,1096,0.15,1
434,1,608,0.35,0
435,0,1096,0.2995,1
436,0,345,0.1,0
437,0,57,0.1,1
438,1,394,0.15,1
439,1,732,0.4,1
440,0,105,0.25,1
441,0,1096,0.3,1
442,0,677,0.58,1
443,0,1107,0.1,0
444,1,152,0.5,1
445,0,700,0.26,1
446,0,533,1.57,1
447,1,333,0.205,0
448,0,771,0.5,1
449,0,1030,0.3,1
450,0,475,0.4,1
451,1,333,0.7,1
452,0,1026,0.5,1
453,1,425,0.2,0
454,0,641,0.3,0
455,0,308,0.25,1
456,0,868,0.5,0
457,0,552,0.3,1
458,0,321,0.3,0
459,1,243,0.3,0
460,0,1168,0.2,0
461,0,1096,0.4,1
462,0,584,1.5,1
463,0,1096,0.5,0
464,0,988,0.14,1
465,1,730,0.3,0
466,0,133,0.385,1
467,0,77,0.1,0
468,1,822,0.1,0
469,1,425,0.25,1
470,0,427,0.3,0
471,0,207,0.2,1
472,1,242,0.1,1
473,0,580,0.2,1
474,1,274,0.6,1
475,0,973,0.15,0
476,0,668,0.3,1
477,0,309,0.1,1
478,0,310,0.1527,0
479,0,377,0.25,1
480,1,213,0.55,0
481,0,981,0.25,0
482,0,273,2.5,0
483,1,151,0.13,1
484,1,183,0.2,1
485,1,794,0.295,1
486,0,1013,1.55,0
487,0,1096,0.4,1
488,0,1096,0.6001,1
489,0,1097,0.255,1
490,0,143,0.255,1
491,0,1042,1.5,1
492,0,81,0.65,1
493,0,41,0.3,0
494,0,224,0.16,1
495,0,820,0.6001,1
496,0,1096,0.1,1
497,1,274,0.3,1
498,1,730,0.62,0
499,0,1096,0.3001,1
500,0,1048,0.275,1
501,0,540,0.5407,0
502,0,65,0.15,1
503,0,1096,0.95,1
504,0,237,0.3,0
505,1,1127,0.3,1
506,0,588,0.25,0
507,0,223,0.5,1
508,0,1096,0.1,1
509,0,126,0.3,1
510,0,1096,0.3,0
511,1,333,0.12,1
512,0,823,1.6,0
513,0,39,0.25,1
514,0,1096,0.4,0
515,1,241,0.25,1
516,0,1096,0.31,1
517,0,120,0.3,1
518,0,1096,0.58,1
519,0,322,0.73,0
520,1,272,0.29,1
521,0,395,0.1,1
522,1,182,0.3,1
523,1,302,0.15,1
524,1,243,0.5,1
525,0,1096,0.95,0
526,0,575,0.5,1
527,1,243,0.1,1
528,0,472,0.3,0
529,0,707,0.3,1
530,0,1077,0.1,0
531,0,1095,0.58,1
532,0,1096,0.5,0
533,0,374,0.4,1
534,0,903,0.1,0
535,0,707,0.29,0
536,0,585,0.2,0
537,0,312,0.38,0
538,1,366,0.32,1
539,0,1096,0.15,1
540,0,1096,0.3,0
541,1,152,0.75,0
542,0,344,0.2849,1
543,0,1096,0.3,0
544,0,85,0.12,0
545,0,1096,0.35,0
546,0,1096,0.3001,0
547,1,241,0.1,0
548,0,922,0.3,0
549,1,699,1.0,0
550,1,517,0.5,1
551,0,1005,0.3,1
552,0,1114,0.255,1
553,0,806,0.5,0
554,0,364,0.25,0
555,0,1096,0.5,0
556,0,542,0.45,1
557,0,429,0.3,1
558,0,792,0.7,0
559,1,455,0.1,1
560,0,761,0.255,1
561,0,711,1.85,1
562,0,567,1.5,1
563,0,44,0.5,0
564,0,1096,1.0,1
565,0,425,0.3,1
566,0,1076,0.4,0
567,0,525,0.3,1
568,1,213,0.33,1
569,1,547,0.1,1
570,0,155,0.255,1
571,0,859,0.3,1
572,1,183,0.2,1
573,0,104,0.1,1
574,0,811,0.3,0
575,1,397,0.255,0
576,0,489,0.35,1
577,1,211,0.375,1
